BYLINE,DATE,DATELINE,HEADLINE,LENGTH,PUBLICATION,SECTION,TITLE,SUBJECT
By JONAH ENGEL BROMWICH; Jack Begg contributed research.,"August 30, 2016 Tuesday",,"Fired Professor Shot Medical School Dean Outside Chappaqua Deli, Officials Say",512 words,The New York Times,Section A; Column 0; Metropolitan Desk; Pg. 18,,WOUNDS & INJURIES (90%); DISMISSALS (90%); GRADUATE & PROFESSIONAL SCHOOLS (90%); ACADEMIC MEDICAL CENTERS (90%); COLLEGE & UNIVERSITY PROFESSORS (90%); SUITS & CLAIMS (89%); INVESTIGATIONS (89%); SHOOTINGS (89%); GUNSHOT WOUNDS (89%); UNIVERSITY ADMINISTRATION (89%); LITIGATION (84%); MURDER (78%); EMPLOYEE TERMINATION (78%); MISCONDUCT (77%); POLICE FORCES (77%); GENE BASED DRUGS (73%); EXECUTIVES (67%); BIOTECHNOLOGY & GENETIC SCIENCE (63%); APPEALS (62%)
By AMY CHOZICK and PATRICK HEALY; Christine Hauser contributed reporting.,"August 30, 2016 Tuesday",,Weiner's Texts Cast Shadow on Campaign,1448 words,The New York Times,Section A; Column 0; National Desk; Pg. 1,,US PRESIDENTIAL CANDIDATES 2016 (90%); MARRIAGE (90%); US PRESIDENTIAL CANDIDATES 2008 (90%); US PRESIDENTIAL ELECTIONS (89%); US PRESIDENTIAL CANDIDATES 2012 (89%); HEADS OF GOVERNMENT ELECTIONS (87%); US REPUBLICAN PARTY (77%); FUNDRAISING (77%); US DEMOCRATIC PARTY (77%); CAMPAIGNS & ELECTIONS (76%); FOUNDATIONS (72%); MAYORS (72%); STATE DEPARTMENTS & FOREIGN SERVICES (71%); SOCIAL MEDIA (71%); NATIONAL SECURITY (67%); NEGLIGENCE (67%); SPECIAL INVESTIGATIVE FORCES (64%); US PRESIDENTS (64%)
By CHRISTINE HAUSER; Amy Chozick and Patrick Healy contributed reporting.,"August 30, 2016 Tuesday",,Anthony Weiner's Latest Sexting Scandal: Here's What We Know,829 words,The New York Times,Section ; Column 0; Express; Pg. ,,SEXTING (93%); SEX SCANDALS (90%); SCANDALS (90%); MARRIAGE (90%); TEXT MESSAGING (90%); US PRESIDENTIAL CANDIDATES 2016 (89%); INTERNET SOCIAL NETWORKING (89%); ANTHONY WEINER SCANDAL (89%); POLITICAL CANDIDATES (78%); RESIGNATIONS (76%); MASSAGE SERVICES (50%); MAYORS (50%)
"By NOUR YOUSSEF and SAEED AL-BATATI; Nour Youssef reported from Cairo, and Saeed Al-Batati from Al Mukalla, Yemen. Shuaib Almosawa contributed reporting from Sana, Yemen.","August 30, 2016 Tuesday",,Scores of Military Recruits Die in Yemen Car Bombing,771 words,The New York Times,Section A; Column 0; Foreign Desk; Pg. 8,,BOMBINGS (91%); TERRORISM (90%); BOMBS & EXPLOSIVE DEVICES (90%); PHYSICIANS & SURGEONS (90%); TERRORIST ATTACKS (90%); EXPLOSIONS (90%); MUSLIMS & ISLAM (89%); MILITARY RECRUITING (89%); REBELLIONS & INSURGENCIES (89%); TERRORIST ORGANIZATIONS (78%); PARAMILITARY & MILITIA (78%); WAR & CONFLICT (78%); CIVIL WAR (78%); WOUNDS & INJURIES (77%); HEALTH DEPARTMENTS (77%); AL-QAEDA (76%); ARMED FORCES (73%); MILITARY TRAINING (73%); RELIEF ORGANIZATIONS (72%); MEDICAL CHARITIES (72%); RELIGION (71%); INTERNET SOCIAL NETWORKING (71%); COMMUTING (71%); ASSOCIATIONS & ORGANIZATIONS (69%)
By NAILA-JEAN MEYERS,"August 30, 2016 Tuesday",,U.S. Open Today: John Isner Survives Five-Set Duel With Frances Tiafoe,1616 words,The New York Times,Section B; Column 0; Sports Desk; 2016 U.S. OPEN; Pg. 11,,TENNIS TOURNAMENTS (90%); SPORTS & RECREATION EVENTS (90%); TENNIS (90%); SPORTS (90%); TOURNAMENTS (90%); SPORTS AWARDS (89%); STADIUMS & ARENAS (88%); PROFESSIONAL SPORTS (78%); RANKINGS (68%)
HATTIE CRISELL,"August 29, 2016 Monday 00:00 EST",,Brand to Know: A Designer Quietly Inspired by Buddhism; On the Verge,519 words,The New York Times,T-MAGAZINE; fashion,,CLOTHING LABELS (90%); RELIGION (90%); FABRICS (89%); FASHION & APPAREL (89%); TEMPORARY STAND RETAILING (89%); BUDDHISTS & BUDDHISM (79%); FASHION DESIGN (78%); MUSEUMS & GALLERIES (78%); TEXTILES (77%); HISTORY (76%); ARTS & HUMANITIES EDUCATION (76%); ANCIENT HISTORY (76%); HUMANITIES & SOCIAL SCIENCE (76%); MEN'S CLOTHING (72%); SECONDARY SCHOOLS (71%)
,"August 29, 2016 Monday",,"Paid Notice: Deaths BLAKE, NORA",57 words,The New York Times,Section B; Column 0; Classified; Pg. 06,,DEATHS & OBITUARIES (92%); GRANDCHILDREN (84%); JEWS & JUDAISM (51%)
,"August 29, 2016 Monday",,"Paid Notice: Deaths FELLER, GERALD",107 words,The New York Times,Section B; Column 0; Classified; Pg. 06,,GRANDCHILDREN (90%); DEATHS & OBITUARIES (90%); MAJOR US LAW FIRMS (88%); LAWYERS (87%); LAW SCHOOLS (86%); WORLD WAR II (85%)
,"August 29, 2016 Monday",,"Paid Notice: Deaths FELLER, GERALD",50 words,The New York Times,Section B; Column 0; Classified; Pg. 06,,DEATHS & OBITUARIES (90%); BOARDS OF DIRECTORS (88%)
,"August 29, 2016 Monday",,"Paid Notice: Deaths KIRSCHSTEIN, DAVID B.",113 words,The New York Times,Section B; Column 0; Classified; Pg. 06,,DEATHS & OBITUARIES (93%); GRANDCHILDREN (86%); PATENTS (72%)
,"August 29, 2016 Monday",,"Paid Notice: Deaths LEVY, HENRY OURIEL",25 words,The New York Times,Section B; Column 0; Classified; Pg. 06,,DEATHS & OBITUARIES (86%)
,"August 29, 2016 Monday",,"Paid Notice: Deaths MUCHNICK, SAUL",126 words,The New York Times,Section B; Column 0; Classified; Pg. 06,,MEN (90%); DEATHS & OBITUARIES (90%); BUILDING RENOVATION (86%); VOLUNTEERS (69%)
,"August 29, 2016 Monday",,"Paid Notice: Deaths POLLAK, LILLIAN GRILL",297 words,The New York Times,Section B; Column 0; Classified; Pg. 06,,GRANDCHILDREN (90%); WRITERS (90%); DEATHS & OBITUARIES (90%); BIOGRAPHICAL LITERATURE (78%); POETRY (78%); DEATHS (78%); PROFILES & BIOGRAPHIES (76%); SOCIAL JUSTICE (69%); ASSOCIATIONS & ORGANIZATIONS (69%)
,"August 29, 2016 Monday",,"Paid Notice: Deaths RIGGI, DR",37 words,The New York Times,Section B; Column 0; Classified; Pg. 06,,DEATHS & OBITUARIES (90%); HUMAN RIGHTS (83%)
,"August 29, 2016 Monday",,"Paid Notice: Deaths SCHANZ, NINA",80 words,The New York Times,Section B; Column 0; Classified; Pg. 06,,DEATHS & OBITUARIES (90%); GRANDCHILDREN (84%)
,"August 29, 2016 Monday",,"Paid Notice: Deaths STEINBERG, DR. EDWARD L.",188 words,The New York Times,Section B; Column 0; Classified; Pg. 06,,GRANDCHILDREN (90%); DEATHS & OBITUARIES (90%); OPTOMETRY (73%); EXECUTIVES (68%)
,"August 29, 2016 Monday",,"Paid Notice: Memorials HASHABA, ASH, SHAHID",23 words,The New York Times,Section B; Column 0; Classified; Pg. 06,,DEATHS & OBITUARIES (90%)
By STEPHANIE BRUNO,"August 29, 2016 Monday",,A Different Kind of Curse,136 words,The New York Times,Section A; Column 0; Metropolitan Desk; METROPOLITAN DIARY; Pg. 15,,
By JOHN MURRAY,"August 29, 2016 Monday",,Defying an Unwritten Rule of Escalator Riding,257 words,The New York Times,Section A; Column 0; Metropolitan Desk; METROPOLITAN DIARY; Pg. 15,,PORT AUTHORITIES (69%); BUS STATIONS & TERMINALS (69%)
By KATHLEEN SHIMETA,"August 29, 2016 Monday",,A Modest Reward for Helping Amazon Fix a Mistake,247 words,The New York Times,Section A; Column 0; Metropolitan Desk; METROPOLITAN DIARY; Pg. 15,,CUSTOMER SERVICE (90%)
By SARA P. SCHECHTER,"August 29, 2016 Monday",,A Peaceful Day,144 words,The New York Times,Section A; Column 0; Metropolitan Desk; METROPOLITAN DIARY; Pg. 15,,RACE & ETHNICITY (88%); JEWS & JUDAISM (72%); INTERNET SOCIAL NETWORKING (70%); JEWISH HOLIDAYS & OBSERVANCES (57%); FILM FESTIVALS (56%); EMERGENCY VEHICLES (53%); HELICOPTERS (52%)
By MARTÍN CAPARRÓS. Martín Caparrós is an Argentine journalist and writer based in Madrid.,"August 29, 2016 Monday",,A country with no government,1104 words,The New York Times,Section ; Column 0; OpEd; OP-ED CONTRIBUTOR; Pg. ,,ELECTIONS (90%); POLITICS (90%); EDITORIALS & OPINIONS (90%); TYPES OF GOVERNMENT (89%); LEGISLATIVE BODIES (89%); HEADS OF STATE & GOVERNMENT (78%); DEMOCRACIES (77%); POLITICAL PARTIES (77%); LIBERALISM (77%); PRIME MINISTERS (77%); POLITICAL CANDIDATES (75%); CATHOLICS & CATHOLICISM (73%); HEALTH DEPARTMENTS (68%); COMMERCE DEPARTMENTS (68%); APPROVALS (60%); EMBASSIES & CONSULATES (50%); BUDGETS (50%)
,"August 29, 2016 Monday",,Corrections,49 words,The New York Times,Section A; Column 0; Metropolitan Desk; Pg. 2,,CORRECTIONS (90%); CONTROLLED SUBSTANCES CRIME (84%); CRIMINAL CONVICTIONS (84%)
,"August 29, 2016 Monday",,Cruelty-Free Cosmetics,136 words,The New York Times,Section A; Column 0; Editorial Desk; LETTER; Pg. 16,,COSMETICS (91%); ANIMAL EXPERIMENTS (90%); LETTERS & COMMENTS (90%); LEGISLATION (88%); EDITORIALS & OPINIONS (74%); WRITERS (73%); POISONINGS (55%); EUROPEAN UNION (52%); ETHICS (50%)
,"August 29, 2016 Monday",,A Helping Hand for College Freshmen,489 words,The New York Times,Section A; Column 0; Editorial Desk; LETTERS; Pg. 16,,STUDENTS & STUDENT LIFE (95%); COLLEGE STUDENTS (90%); SCHOLARSHIPS & GRANTS (90%); LOW INCOME PERSONS (90%); POOR POPULATION (90%); LETTERS & COMMENTS (90%); COLLEGES & UNIVERSITIES (89%); GRADUATE & PROFESSIONAL SCHOOLS (89%); STUDENT DEMOGRAPHICS (78%); UNIVERSITY ADMINISTRATION (77%); WEALTHY PEOPLE (76%); FAMILY (76%); WRITERS (73%); PERSONAL & FAMILY INCOME (71%); ASTROLOGISTS & PSYCHICS (66%); EXECUTIVES (65%); EDITORIALS & OPINIONS (59%)
By JENNIFER SCHUESSLER,"August 29, 2016 Monday",,New PEN America Series for Muslim Voices,259 words,The New York Times,Section C; Column 0; The Arts/Cultural Desk; Pg. 3,,MUSLIMS & ISLAM (90%); THEATER & DRAMA (90%); WRITERS (90%); DRAMA LITERATURE (89%); NOVELS & SHORT STORIES (78%); RELIGION (78%); FICTION LITERATURE (78%); CONFERENCES & CONVENTIONS (78%); POLITICAL PARTY CONVENTIONS (78%); ENTERTAINMENT & ARTS AWARDS (78%); THEATER (74%); US DEMOCRATIC NATIONAL CONVENTIONS (73%); LITERATURE GENRES (73%); EXECUTIVES (69%); DOCUMENTARY FILMS (69%); FILM DIRECTORS (69%); THEATER COMPANIES (69%); BESTSELLERS (68%)
By THE ASSOCIATED PRESS,"August 29, 2016 Monday",,"Benjamin Ben-Eliezer, Former Israeli Defense Minister, Dies at 80",229 words,The New York Times,Section ; Column 0; Obituary; Pg. ,,DEATHS & OBITUARIES (95%); POLITICS (90%); DEFENSE DEPARTMENTS (90%); INVESTIGATIONS (77%); POLITICAL PARTIES (73%); BRIBERY (73%); INDICTMENTS (70%); DEFENSE INDUSTRY (70%); FRAUD & FINANCIAL CRIME (70%); MONEY LAUNDERING (65%)
By BROOKS BARNES,"August 29, 2016 Monday",,'Don't Breathe' Tops the North American Box Office,534 words,The New York Times,Section C; Column 0; The Arts/Cultural Desk; Pg. 3,,FILM (90%); HORROR FILMS (90%); MOVIE & VIDEO INDUSTRIES (89%); MOVIE REVIEWS (78%); ACTORS & ACTRESSES (78%); FILM DIRECTORS (78%); MOVIE REVENUES (78%); MOVIE THEATERS (73%); TICKET SALES (73%); SOCIAL MEDIA (53%)
By JESS BIDGOOD,"August 29, 2016 Monday",,"Fearing Exclusion, Even Among the Dead",1298 words,The New York Times,Section A; Column 0; National Desk; Pg. 9,,CEMETERIES (91%); RELIGION (90%); MUSLIMS & ISLAM (89%); PHYSICIANS & SURGEONS (78%); REGIONAL & LOCAL GOVERNMENTS (78%); MUSLIM AMERICANS (78%); TALKS & MEETINGS (76%); ASSOCIATIONS & ORGANIZATIONS (76%); ZONING (73%); PUBLIC HEARINGS (73%); CIVIL RIGHTS (71%); RURAL COMMUNITIES (70%); LAWYERS (68%); RELIGIOUS FACILITIES (66%); DEMOGRAPHIC GROUPS (61%); WETLANDS (54%); BOMBINGS (50%)
By FRED KAPLAN,"August 29, 2016 Monday",,"After 30 Albums, a Jazzman Flirts With the Mainstream",1153 words,The New York Times,Section C; Column 0; The Arts/Cultural Desk; Pg. 2,,ARTISTS & PERFORMERS (91%); JAZZ & BLUES (90%); MUSIC (89%); SINGERS & MUSICIANS (89%); WIND INSTRUMENTS (89%); VISUAL & PERFORMING ARTS (78%); MUSICAL INSTRUMENTS (78%); KEYBOARD INSTRUMENTS (73%)
SEAN D. NAYLOR and CHRISTOPHER DREW,"August 27, 2016 Saturday 00:00 EST",,SEAL Team 6 and a Man Left for Dead: A Grainy Picture of Valor,2739 words,The New York Times,WORLD; asia,,US AIR FORCE (90%); AIR FORCES (90%); ARMED FORCES (90%); SHOOTINGS (78%); NIGHT VISION DEVICES (78%); WOUNDS & INJURIES (76%); TERRORISM (76%); MILITARY WEAPONS (76%); BOMBS & EXPLOSIVE DEVICES (69%); MOUNTAINS (68%); TERRORIST ORGANIZATIONS (62%); AL-QAEDA (62%); RELIGION (60%); ASSOCIATIONS & ORGANIZATIONS (60%)
NICK CORASANITI,"August 27, 2016 Saturday 00:00 EST",,Hillary Clinton Ad Pushes Issue of Race Against Donald Trump; Ad of the Week,716 words,The New York Times,US; politics,,US PRESIDENTIAL CANDIDATES 2008 (93%); AFRICAN AMERICANS (92%); US PRESIDENTIAL CANDIDATES 2012 (92%); US PRESIDENTIAL CANDIDATES 2016 (91%); MINORITY GROUPS (90%); RACISM & XENOPHOBIA (90%); MARKETING & ADVERTISING (90%); RACE & ETHNICITY (90%); US PRESIDENTIAL ELECTIONS (90%); POLITICAL ADVERTISING (90%); VOTERS & VOTING (89%); SEX OFFENSES (78%); ELECTIONS (78%); CAMPAIGNS & ELECTIONS (78%); HEADS OF GOVERNMENT ELECTIONS (78%); CHILDREN (73%); STUDENTS & STUDENT LIFE (73%); DISCRIMINATION (73%); PROTESTS & DEMONSTRATIONS (72%); POVERTY & HOMELESSNESS (53%)
DAN LEVIN,"August 27, 2016 Saturday 00:00 EST",,Chinese-Canadians Fear China's Rising Clout Is Muzzling Them,1484 words,The New York Times,WORLD; americas,,FREEDOM OF SPEECH (90%); PRIME MINISTERS (90%); HEADS OF STATE & GOVERNMENT (90%); TYPES OF GOVERNMENT (89%); LANGUAGE & LANGUAGES (89%); POLITICS (89%); IMMIGRATION (86%); STATE DEPARTMENTS & FOREIGN SERVICES (78%); INTERVIEWS (78%); DEMOCRACIES (77%); RULE OF LAW (77%); CAPITAL EXPENDITURES (76%); HUMAN RIGHTS VIOLATIONS (75%); FREEDOM OF EXPRESSION (75%); COMMUNITY ACTIVISM (74%); JOURNALISM (74%); DICTATORSHIPS (74%); WRITERS (74%); FREEDOM OF PRESS (74%); TALKS & MEETINGS (73%); INDUSTRY ANALYSTS (73%); POLITICAL PARTIES (72%); PARALEGALS (71%); EMBASSIES & CONSULATES (70%); FREELANCE EMPLOYMENT (69%); STUDENTS & STUDENT LIFE (69%); ASSOCIATIONS & ORGANIZATIONS (68%); EMIGRATION (67%); INTERNATIONAL RELATIONS (67%)
KATHERINE ROSMAN,"August 27, 2016 Saturday 00:00 EST",,"Venus Williams, Off the Court",2524 words,The New York Times,FASHION,,TENNIS (92%); SPORTS (92%); SPORTS & RECREATION FACILITIES & VENUES (90%); INTERIOR DECORATING (90%); INTERIOR DESIGN SERVICES (89%); SPORTS & RECREATION EVENTS (78%); SUMMER OLYMPICS (78%); ATHLETES (78%); PROFESSIONAL SPORTS (78%); SPORTS AWARDS (78%); TALKS & MEETINGS (76%); FASHION DESIGN (76%); FASHION & APPAREL (76%); CLOTHING LABELS (72%); YOGA (67%); HAIR CARE PRODUCTS (66%); TOURNAMENTS (63%)
TIM McKEOUGH,"August 26, 2016 Friday 00:00 EST",,Shopping Guide: Sconces; Shopping Guide,550 words,The New York Times,REALESTATE,,INTERIOR DESIGN SERVICES (78%); RESTAURANTS (72%); CLOTHING & ACCESSORIES STORES (71%)
JACK HEALY,"August 26, 2016 Friday 00:00 EST",,North Dakota Oil Pipeline Battle: Who's Fighting and Why,1005 words,The New York Times,US,,CRUDE OIL PIPELINES (90%); OIL & GAS FACILITIES (90%); INDIGENOUS PEOPLES (90%); PROTESTS & DEMONSTRATIONS (90%); NATIVE AMERICANS (90%); PIPELINE TRANSPORTATION (90%); OIL & GAS INDUSTRY (89%); OIL & GAS PIPELINE CONSTRUCTION (89%); OIL EXTRACTION (78%); PETROLEUM PRODUCTS (78%); RIOTS (77%); LAW ENFORCEMENT (77%); WOUNDS & INJURIES (76%); WEATHER (76%); RURAL COMMUNITIES (73%); CONSTRUCTION (73%); ARRESTS (72%); ENVIRONMENT & NATURAL RESOURCES (69%); POLLUTION & ENVIRONMENTAL IMPACTS (69%); POLICE FORCES (65%)
CORINNA da FONSECA-WOLLHEIM,"August 26, 2016 Friday 00:00 EST",,10 Things to Do Now in NYC,1144 words,The New York Times,ARTS,,MUSEUMS & GALLERIES (91%); PERCUSSION INSTRUMENTS (90%); MUSIC (89%); FESTIVALS (89%); POP & ROCK (89%); FASHION & APPAREL (87%); ARTISTS & PERFORMERS (78%); VISUAL & PERFORMING ARTS (78%); HAUTE COUTURE (78%); PERFORMING ARTS CENTERS (77%); MUSIC GROUPS & ARTISTS (77%); SINGERS & MUSICIANS (77%); MUSIC INDUSTRY (77%); CIRCUSES & CARNIVALS (76%); CLASSICAL MUSIC (72%); FERRIES (71%); STADIUMS & ARENAS (67%); READY TO WEAR (66%)
ROMAISSAA BENZIZOUNE,"August 26, 2016 Friday 00:00 EST",,At the Beach in My Burkini; Opinion,1042 words,The New York Times,OPINION; sunday,,RELIGION (93%); MUSLIMS & ISLAM (90%); BEACHES (90%); EDITORIALS & OPINIONS (90%); MIDDLE & JUNIOR HIGH SCHOOLS (79%); WOMEN (71%); MEAT FREE DIETS (60%); RACISM & XENOPHOBIA (60%)
ALASTAIR MACAULAY,"August 26, 2016 Friday 00:00 EST",,"It Was Justin Peck's First 'Rodeo,' and He Turned It on Its Head",1229 words,The New York Times,ARTS; dance,,CHOREOGRAPHY (92%); BALLET (92%); DANCE COMPANIES (90%); ARTISTS & PERFORMERS (90%); DANCERS (89%); DANCE (89%); MANNERS & ETIQUETTE (74%); INTERVIEWS (70%); PERCUSSION INSTRUMENTS (68%)
ANDY WEBSTER,"August 26, 2016 Friday 00:00 EST",,"Review: Jason Statham in 'Mechanic: Resurrection,' a Hit Man on Cruise Control",503 words,The New York Times,MOVIES,,FILM (89%); ACTION & ADVENTURE FILMS (77%); ACTORS & ACTRESSES (77%); CHILD TRAFFICKING (75%); HUMAN TRAFFICKING (53%); MARTIAL ARTS (51%)
JOE COSCARELLI,"August 26, 2016 Friday 00:00 EST",,Riz Ahmed's Double Identity: Actor and Rapper,1066 words,The New York Times,ARTS; music,,RAP MUSIC (91%); TELEVISION PROGRAMMING (91%); HIP HOP CULTURE (90%); STUDENTS & STUDENT LIFE (90%); FILM (90%); ACTORS & ACTRESSES (90%); MUSIC (89%); RECORD RELEASES (89%); SINGERS & MUSICIANS (89%); MUSIC INDUSTRY (89%); ARTISTS & PERFORMERS (78%); RACE & ETHNICITY (78%); POP & ROCK (77%); POLITICS (73%); BREXIT (73%); INTERNET SOCIAL NETWORKING (72%); MOVIE INDUSTRY (70%); RACIAL PROFILING (69%); RACISM & XENOPHOBIA (67%); SCIENCE FICTION & FANTASY FILMS (65%); REFERENDUMS (50%)
DAVE ITZKOFF,"August 26, 2016 Friday 00:00 EST",,"A New National Lampoon Album, 35 Years After the Last One",226 words,The New York Times,ARTS,,RECORD RELEASES (90%); WRITERS (90%); STREAMING MEDIA (72%); ABORTION (54%); COCAINE (53%)
RON LIEBER,"August 26, 2016 Friday 00:00 EST",,7 Essential Money Questions Sure to Start a Conversation; Your Money,1247 words,The New York Times,YOUR-MONEY,,PERSONAL FINANCE (90%); MUTUAL FUNDS (74%); FINANCIAL PLANNING (74%); CHILDREN (71%); FOOD STAMPS (71%); INDEX FUNDS (68%); BEVERAGE PRODUCTS (51%)
ANN CARRNS,"August 26, 2016 Friday 00:00 EST",,U.S. Puts Private Student Loan Servicers on Notice: Play Nice; Your Money Adviser,837 words,The New York Times,YOUR-MONEY,,STUDENT LOANS (95%); CONSUMER WATCHDOGS (92%); COMMUNITY BANKS (90%); PERSONAL FINANCE (90%); STUDENT FINANCIAL AID (90%); CONSUMER PROTECTION (90%); CONSUMER LENDING (90%); CONSUMER LAW (89%); PERSONAL DEBT (79%); STUDENT EXPENSES (78%); US FEDERAL GOVERNMENT (78%); CONSENT DECREES & ORDERS (76%); FINES & PENALTIES (73%)
SCOTT SHANE,"August 25, 2016 Thursday 00:00 EST",,Saudis and Extremism: 'Both the Arsonists and the Firefighters',5105 words,The New York Times,WORLD; middleeast,,MUSLIMS & ISLAM (95%); RELIGION (94%); TERRORISM (93%); ISLAMIC STATE IN IRAQ & THE LEVANT (91%); INTERNATIONAL RELATIONS (90%); TERRORIST ORGANIZATIONS (89%); ARSON (85%); POLITICAL PARTIES (77%); TERRORIST ATTACKS (77%); FUNDAMENTALISM (77%); INTERVIEWS (76%); CUSTOMS & CULTURAL HERITAGE (75%); COUNTERTERRORISM (71%); WRITERS (69%)
JON CARAMANICA,"August 24, 2016 Wednesday 00:00 EST",,Popcast: Frank Ocean Returns; Popcast,228 words,The New York Times,ARTS; music,,MUSIC (92%); ARTISTS & PERFORMERS (90%); SINGERS & MUSICIANS (90%); MUSIC INDUSTRY (90%); PODCASTING (78%); POP & ROCK (77%); MUSIC REVIEWS (77%); WRITERS (77%); SONG WRITING (77%)
REUTERS,"August 24, 2016 Wednesday 00:00 EST",,Norway Will Build a Fence at Its Arctic Border With Russia,486 words,The New York Times,WORLD; europe,,TERRITORIAL & NATIONAL BORDERS (92%); MIGRATION ISSUES (90%); BORDER CONTROL (90%); REFUGEES (90%); EUROPEAN MIGRANT CRISIS (90%); COLD WAR (90%); POLITICAL ASYLUM (90%); PASSPORTS & VISAS (89%); IMMIGRATION (78%); DISPLACED PERSONS (78%); POLITICAL PARTIES (72%); JUSTICE DEPARTMENTS (72%)
ASMA T. UDDIN,"August 24, 2016 Wednesday 00:00 EST",,When a Swimsuit Is a Security Threat; Op-Ed Contributor,1015 words,The New York Times,OPINION,,RELIGION (99%); HUMAN RIGHTS (93%); MUSLIMS & ISLAM (92%); EDITORIALS & OPINIONS (92%); INTERNATIONAL COURTS & TRIBUNALS (91%); HUMAN RIGHTS VIOLATIONS (90%); ORDINANCES (90%); EUROPEAN UNION INSTITUTIONS (90%); FREEDOM OF RELIGION (89%); TERRORIST ORGANIZATIONS (78%); WOMEN (78%); CITY GOVERNMENT (78%); TERRORISM (76%); INTERVIEWS (75%); TERRORIST ATTACKS (71%); TEACHING & TEACHERS (70%); PRIME MINISTERS (70%); HEADS OF STATE & GOVERNMENT (70%); SUPREME COURTS (68%); STUDENTS & STUDENT LIFE (68%); LAW COURTS & TRIBUNALS (68%); TREATIES & AGREEMENTS (50%)
ALISON S. COHN,"August 24, 2016 Wednesday 00:00 EST",,"At Westfield, New Openings and Celebratory Events; Scouting Report",431 words,The New York Times,FASHION,,SHOPPING CENTERS & MALLS (90%); TENNIS (90%); SPORTS (90%); FASHION ACCESSORIES (90%); CLOTHING & ACCESSORIES STORES (89%); RETAILERS (89%); JEWELRY (78%); SKIN CARE PRODUCTS (77%); COSMETICS & TOILETRIES COMPANIES (77%); ANNIVERSARIES (77%); TENNIS TOURNAMENTS (76%); WOMEN'S CLOTHING STORES (75%); FINE JEWELRY (74%); WEDDINGS & ENGAGEMENTS (72%); TOILETRIES MFG (70%); BASEBALL (65%); INTERNET SOCIAL NETWORKING (60%)
EDWARD WONG,"August 23, 2016 Tuesday 00:00 EST",,Camping in the Spartan Nomad Lands of Tibet. With a Cocktail. And a Sauna.; Sangke Grasslands Journal,1379 words,The New York Times,WORLD; asia,,CAMPING (92%); TEXTILES (89%); LUXURY GOODS (76%); ENTREPRENEURSHIP (75%); PHOTO & VIDEO SHARING (74%); DRINKING PLACES (71%); YOGA (70%); VISUAL ARTISTS (63%)
DIONNE SEARCEY,"August 23, 2016 Tuesday 00:00 EST",,"Boko Haram Leader Is Wounded in Airstrike, Nigeria's Military Says",609 words,The New York Times,WORLD; africa,,BOKO HARAM (96%); WAR & CONFLICT (91%); BOMBINGS (90%); ARMED FORCES (90%); MUSLIMS & ISLAM (89%); WOUNDS & INJURIES (89%); RELIGION (89%); ISLAMIC STATE IN IRAQ & THE LEVANT (89%); BOMBS & EXPLOSIVE DEVICES (78%); TORTURE (77%); HUMAN RIGHTS (74%); SUICIDE BOMBINGS (72%); ADOLESCENTS (70%); THEOLOGY (66%); HUMAN RIGHTS VIOLATIONS (64%)
ANNE BARNARD,"August 23, 2016 Tuesday 00:00 EST",,"Kurds Close to Control of Northeast Syria Province, Portending a Shift in the War",1184 words,The New York Times,WORLD; middleeast,,RELIGION (93%); ISLAMIC STATE IN IRAQ & THE LEVANT (92%); MUSLIMS & ISLAM (90%); WAR & CONFLICT (90%); REBELLIONS & INSURGENCIES (89%); HEADS OF STATE & GOVERNMENT (78%); US PRESIDENTS (76%); PRIME MINISTERS (73%); MILITARY AIRCRAFT (68%)
CHOE SANG-HUN,"August 23, 2016 Tuesday 00:00 EST",,North Korea Test-Fires Missile From Submarine,502 words,The New York Times,WORLD; asia,,MISSILE SYSTEMS (93%); DEFENSE ELECTRONICS (90%); SUBMARINES & SUBMERSIBLES (90%); MILITARY WEAPONS (90%); MISSILE RESEARCH & DEVELOPMENT (90%); ARMED FORCES (90%); MILITARY OPERATIONS (90%); MISSILE DEFENSE SYSTEMS (89%); NATIONAL SECURITY (78%); AIR DEFENSE SYSTEMS (78%); NUCLEAR WEAPONS (78%); AIR FORCES (77%); TALKS & MEETINGS (74%); STATE DEPARTMENTS & FOREIGN SERVICES (72%); SELFIES (68%); INTERNATIONAL RELATIONS (66%); UNITED NATIONS (61%); UNITED NATIONS INSTITUTIONS (61%); HEADS OF STATE & GOVERNMENT (61%); ATHLETES (60%); PRIME MINISTERS (60%)
